Frequency (Hz)	Level (dB)
301269.531250	-70.919754
301757.812500	-69.031181
302246.093750	-68.322929
302734.375000	-69.688530
303222.656250	-70.970139
303710.937500	-68.109016
304199.218750	-69.134277
304687.500000	-70.034546
305175.781250	-68.265488
305664.062500	-69.391891
306152.343750	-68.996254
306640.625000	-69.235817
307128.906250	-70.852982
307617.187500	-70.522453
308105.468750	-70.443802
308593.750000	-69.122147
309082.031250	-68.356285
309570.312500	-70.192245
310058.593750	-69.772797
310546.875000	-68.436462
311035.156250	-72.145454
311523.437500	-70.118980
312011.718750	-67.748253
312500.000000	-69.669876
312988.281250	-69.447815
313476.562500	-69.403893
313964.843750	-74.883797
314453.125000	-70.195717
314941.406250	-70.952225
315429.687500	-68.584747
315917.968750	-71.955788
316406.250000	-70.150909
316894.531250	-68.001053
317382.812500	-69.371086
317871.093750	-71.584160
318359.375000	-70.244087
318847.656250	-68.840416
319335.937500	-68.366844
319824.218750	-71.537292
320312.500000	-69.228218
320800.781250	-69.605896
321289.062500	-69.568657
321777.343750	-70.928368
322265.625000	-70.835983
322753.906250	-68.882874
323242.187500	-70.451675
323730.468750	-69.116821
324218.750000	-69.571991
324707.031250	-71.018913
325195.312500	-70.632423
325683.593750	-71.710411
326171.875000	-70.666183
326660.156250	-71.132278
327148.437500	-70.472610
327636.718750	-70.693146
328125.000000	-69.622971
328613.281250	-71.338921
329101.562500	-71.065491
329589.843750	-67.268661
330078.125000	-70.386078
330566.406250	-69.952202
331054.687500	-70.387352
331542.968750	-75.715073
332031.250000	-69.901451
332519.531250	-70.723137
333007.812500	-70.592705
333496.093750	-69.665535
333984.375000	-70.999519
334472.656250	-70.347771
334960.937500	-69.273560
335449.218750	-70.447029
335937.500000	-70.108040
336425.781250	-67.987015
336914.062500	-71.653847
337402.343750	-70.360069
337890.625000	-70.487152
338378.906250	-70.904297
338867.187500	-68.578278
339355.468750	-72.259026
339843.750000	-71.397118
340332.031250	-74.442604
340820.312500	-68.948524
341308.593750	-74.053787
341796.875000	-69.604851
342285.156250	-71.916290
342773.437500	-69.068398
343261.718750	-70.198624
343750.000000	-71.129349
344238.281250	-73.197807
344726.562500	-72.345085
345214.843750	-73.922287
345703.125000	-70.678215
346191.406250	-72.065491
346679.687500	-68.963844
347167.968750	-69.511940
347656.250000	-72.539619
348144.531250	-72.572197
348632.812500	-71.480881
349121.093750	-70.084221
349609.375000	-71.343391
350097.656250	-74.065147
350585.937500	-71.369080
351074.218750	-70.532211
351562.500000	-70.275398
352050.781250	-71.900894
352539.062500	-72.855896
353027.343750	-69.507042
353515.625000	-69.406700
354003.906250	-72.696304
354492.187500	-71.327629
354980.468750	-70.865265
355468.750000	-70.112335
355957.031250	-68.068665
356445.312500	-70.385635
356933.593750	-69.750168
357421.875000	-70.333572
357910.156250	-72.886978
358398.437500	-70.516685
358886.718750	-72.496483
359375.000000	-68.733833
359863.281250	-71.677086
360351.562500	-70.134872
360839.843750	-74.447945
361328.125000	-71.516960
361816.406250	-73.211365
362304.687500	-69.823502
362792.968750	-68.694832
363281.250000	-70.899475
363769.531250	-73.483986
364257.812500	-69.870827
364746.093750	-70.141495
365234.375000	-68.966423
365722.656250	-73.141670
366210.937500	-69.898392
366699.218750	-70.439407
367187.500000	-72.248245
367675.781250	-73.629379
368164.062500	-70.499336
368652.343750	-69.246788
369140.625000	-70.896767
369628.906250	-70.819786
370117.187500	-70.852249
370605.468750	-72.663773
371093.750000	-71.838524
371582.031250	-70.690750
372070.312500	-70.192070
372558.593750	-72.253281
373046.875000	-71.184830
373535.156250	-71.164070
374023.437500	-71.926224
374511.718750	-72.893631
375000.000000	-70.252182
375488.281250	-72.367065
375976.562500	-71.779518
376464.843750	-73.417747
376953.125000	-71.211945
377441.406250	-71.448914
377929.687500	-71.675262
378417.968750	-71.778374
378906.250000	-71.297340
379394.531250	-70.780022
379882.812500	-71.073212
380371.093750	-73.361160
380859.375000	-71.851395
381347.656250	-70.928909
381835.937500	-72.767883
382324.218750	-71.988968
382812.500000	-72.080750
383300.781250	-70.299774
383789.062500	-69.616730
384277.343750	-73.010345
384765.625000	-69.956558
385253.906250	-70.967628
385742.187500	-69.648964
386230.468750	-70.563545
386718.750000	-69.821503
387207.031250	-69.121834
387695.312500	-72.226494
388183.593750	-70.876999
388671.875000	-69.198761
389160.156250	-73.391747
389648.437500	-73.874474
390136.718750	-70.731789
390625.000000	-69.729279
391113.281250	-69.640053
391601.562500	-71.276268
392089.843750	-74.805275
392578.125000	-72.448936
393066.406250	-73.278221
393554.687500	-70.686333
394042.968750	-76.481880
394531.250000	-72.267639
395019.531250	-73.948936
395507.812500	-71.979271
395996.093750	-71.978104
396484.375000	-70.127647
396972.656250	-74.968742
397460.937500	-71.434593
397949.218750	-74.777924
398437.500000	-73.759186
398925.781250	-72.276825
399414.062500	-72.669243
399902.343750	-75.492767
400390.625000	-70.768768
400878.906250	-66.731247
401367.187500	-72.780807
401855.468750	-73.775925
402343.750000	-72.993423
402832.031250	-72.182205
403320.312500	-71.268066
403808.593750	-72.137787
404296.875000	-73.093513
404785.156250	-74.569092
405273.437500	-71.340622
405761.718750	-71.567978
406250.000000	-70.887016
406738.281250	-73.481827
407226.562500	-71.020508
407714.843750	-71.764313
408203.125000	-72.462425
408691.406250	-73.439522
409179.687500	-70.701256
409667.968750	-72.893707
410156.250000	-72.040810
410644.531250	-72.906479
411132.812500	-70.898636
411621.093750	-70.596657
412109.375000	-72.215210
412597.656250	-71.447006
413085.937500	-71.264122
413574.218750	-70.769440
414062.500000	-71.779655
414550.781250	-69.280510
415039.062500	-71.461037
415527.343750	-70.751953
416015.625000	-71.611389
416503.906250	-70.812149
416992.187500	-72.169289
417480.468750	-70.286858
417968.750000	-71.605347
418457.031250	-69.595703
418945.312500	-72.583992
419433.593750	-72.761772
419921.875000	-71.019775
420410.156250	-78.931480
420898.437500	-71.363968
421386.718750	-75.428406
421875.000000	-69.812378
422363.281250	-72.245766
422851.562500	-71.035164
423339.843750	-68.751732
423828.125000	-72.870224
424316.406250	-71.515739
424804.687500	-72.549232
425292.968750	-70.440765
425781.250000	-69.625328
426269.531250	-71.457451
426757.812500	-71.831764
427246.093750	-72.644592
427734.375000	-72.003983
428222.656250	-71.682297
428710.937500	-71.828499
429199.218750	-70.125343
429687.500000	-73.089546
430175.781250	-70.944733
430664.062500	-72.312447
431152.343750	-75.881584
431640.625000	-70.992134
432128.906250	-71.984032
432617.187500	-73.093323
433105.468750	-71.912315
433593.750000	-72.700775
434082.031250	-70.782219
434570.312500	-72.091812
435058.593750	-70.886833
435546.875000	-69.964706
436035.156250	-71.095963
436523.437500	-72.663704
437011.718750	-72.669197
437500.000000	-72.255447
437988.281250	-72.909706
438476.562500	-70.625000
438964.843750	-71.480812
439453.125000	-71.804153
439941.406250	-73.034904
440429.687500	-72.349800
440917.968750	-70.051109
441406.250000	-71.860428
441894.531250	-73.689796
442382.812500	-71.357658
442871.093750	-68.558739
443359.375000	-71.659164
443847.656250	-72.471367
444335.937500	-70.209213
444824.218750	-74.334000
445312.500000	-73.399529
445800.781250	-74.266403
446289.062500	-70.819893
446777.343750	-74.050377
447265.625000	-73.065552
447753.906250	-70.680756
448242.187500	-70.535736
448730.468750	-71.003746
449218.750000	-70.632912
449707.031250	-72.353775
450195.312500	-73.236504
450683.593750	-72.631729
451171.875000	-71.991287
451660.156250	-72.299309
452148.437500	-71.473839
452636.718750	-79.418129
453125.000000	-71.306450
453613.281250	-73.207672
454101.562500	-70.513306
454589.843750	-71.036827
455078.125000	-70.922600
455566.406250	-72.695305
456054.687500	-72.641823
456542.968750	-72.284424
457031.250000	-71.578209
457519.531250	-69.875488
458007.812500	-70.426804
458496.093750	-73.960091
458984.375000	-71.433105
459472.656250	-71.993523
459960.937500	-71.655045
460449.218750	-70.246117
460937.500000	-70.807472
461425.781250	-74.695389
461914.062500	-71.591980
462402.343750	-75.610550
462890.625000	-71.286835
463378.906250	-71.992348
463867.187500	-70.675774
464355.468750	-74.977890
464843.750000	-70.163330
465332.031250	-72.123032
465820.312500	-72.391403
466308.593750	-70.901398
466796.875000	-73.922623
467285.156250	-72.927010
467773.437500	-71.914841
468261.718750	-72.985817
468750.000000	-71.176170
469238.281250	-70.643944
469726.562500	-74.613434
470214.843750	-73.214005
470703.125000	-74.394722
471191.406250	-74.654198
471679.687500	-73.831985
472167.968750	-72.583252
472656.250000	-74.443413
473144.531250	-72.721504
473632.812500	-72.183182
474121.093750	-70.644569
474609.375000	-72.681808
475097.656250	-71.487007
475585.937500	-74.668373
476074.218750	-73.598000
476562.500000	-73.068619
477050.781250	-74.015991
477539.062500	-72.943932
478027.343750	-69.541451
478515.625000	-72.118347
479003.906250	-76.452515
479492.187500	-72.933662
479980.468750	-77.088455
480468.750000	-73.689537
480957.031250	-69.486862
481445.312500	-73.727913
481933.593750	-73.870163
482421.875000	-72.457451
482910.156250	-73.093399
483398.437500	-73.491814
483886.718750	-69.271988
484375.000000	-75.036484
484863.281250	-71.508202
485351.562500	-72.420563
485839.843750	-76.831940
486328.125000	-72.853401
486816.406250	-77.977150
487304.687500	-73.847786
487792.968750	-76.147697
488281.250000	-76.128426
488769.531250	-74.659058
489257.812500	-71.819885
489746.093750	-72.817322
490234.375000	-72.296471
490722.656250	-70.406029
491210.937500	-71.668861
491699.218750	-74.816811
492187.500000	-71.485168
492675.781250	-74.943207
493164.062500	-72.289421
493652.343750	-71.112259
494140.625000	-71.155891
494628.906250	-70.342911
495117.187500	-71.554176
495605.468750	-71.663277
496093.750000	-73.311424
496582.031250	-74.606911
497070.312500	-73.167755
497558.593750	-72.083328
498046.875000	-71.438858
498535.156250	-71.484535
499023.437500	-73.821823
499511.718750	-71.924881
